RT,mz,name,adduct,fill_perc,SN_ratio
2.301,367.33554,Unknown,[M+H]+,0.225,213.42
2.302,490.36813,w/o MS2:LDGCC 16:0,[M+H]+,0.175,86.34
2.302,608.46332,LPC 24:0-SN1,[M+H]+,0.694,72.01
2.304,829.54913,w/o MS2:RIKEN P-VS1 ID-12559 from Mouse_Macrophage_WT_N_F1DHA,[M+H]+,0.1,12.85
2.306,728.52087,PC 32:3|PC 16:1_16:2,[M+H]+,0.169,48.9
2.306,828.55084,PC 40:9|PC 18:4_22:5,[M+H]+,0.706,60.37
2.308,778.53357,PC 36:6|PC 18:1_18:5,[M+H]+,0.606,52.79
2.315,491.38687,w/o MS2:VAE 12:0,[M+Na]+,0.969,272.08
2.315,826.58942,w/o MS2:DGDG O-8:0_19:0,[M+H]+,0.25,25.56
2.316,447.34595,Unknown,[M+H]+,0.969,829.17
2.317,492.40204,w/o MS2:DG O-9:0_18:5,[M+H]+,0.969,1062.01
2.318,469.32733,w/o MS2:SL 10:0;O/12:0;O,[M+Na]+,0.969,523.17
2.318,798.56085,w/o MS2:DGDG O-8:0_17:0,[M+NH4]+,0.269,16.76
2.319,626.46075,w/o MS2:DGCC 8:0_17:2,[M+H]+,0.1,427.66
2.32,289.1788,Unknown,[M+H]+,0.906,34.05
2.32,485.30411,Unknown,[M+K]+,0.956,102.38
2.321,429.36987,Unknown,[M+H-H2O]+,0.206,32.11
2.338,878.56897,PC 44:12|PC 22:6_22:6,[M+H]+,0.262,91.72
2.344,814.55627,BMP 38:5|BMP 18:1_20:4,[M+NH4]+,0.062,44.86
2.354,490.39822,Unknown,[M+H]+,0.1,93.89
2.356,568.45422,Unknown,[M+H]+,0.969,252.39
2.356,754.53595,PC 34:4|PC 17:2_17:2,[M+H]+,0.962,334.38
2.357,804.55109,PC 38:7|PC 18:3_20:4,[M+H]+,0.9,1054.6
2.362,842.58966,w/o MS2:PC O-42:9,[M+H]+,0.031,13.16
2.365,805.56067,w/o MS2:RIKEN P-VS1 ID-11485 from Mouse_Brain_WT_N_F1,[M+H]+,0.019,74.14
2.378,772.55164,w/o MS2:DGGA 12:0_21:2,[M+H]+,0.438,37.98
2.38,675.54523,Unknown,[M+H]+,0.894,66.28
2.384,883.5332,w/o MS2:PI 36:3,[M+H]+,0.056,54.77
2.385,788.5426,BMP 36:4|BMP 18:2_18:2,[M+NH4]+,0.325,77.56
2.386,623.50238,w/o MS2:SL 10:0;O/23:0;O,[M+H]+,0.181,59.74
2.386,900.56097,PI 38:6,[M+NH4]+,0.85,91.37
2.387,778.53662,PC 36:6|PC 18:3_18:3,[M+H]+,0.969,325.48
2.397,790.56018,BMP 36:3|BMP 18:1_18:2,[M+NH4]+,0.206,76
2.4,780.54999,PC 36:5|PC 18:2_18:3,[M+H]+,0.969,3401.3
2.408,854.56561,PC 42:10|PC 20:4_22:6,[M+H]+,0.969,1740.13
2.417,483.34009,w/o MS2:SL 10:0;O/13:0;O,[M+Na]+,0.875,52.4
2.418,804.55133,PC 38:7|PC 16:1_22:6,[M+H]+,0.95,1300.78
2.42,461.36154,Unknown,[M+H]+,0.969,174.21
2.422,506.41891,w/o MS2:DG O-8:0_20:5,[M+H]+,0.969,235.26
2.422,701.55676,SM 34:2;2O|SM 18:1;2O/16:1,[M+H]+,0.969,622.33
2.426,880.58655,PC 44:11|PC 16:4_28:7,[M+H]+,0.062,23.4
2.446,429.37329,Unknown,[M+H]+,0.169,30.8
2.449,808.51178,PS 38:6|PS 16:1_22:5,[M+H]+,0.181,312.4
2.453,394.34656,Unknown,[M+H]+,0.969,423.76
2.453,704.52124,PC 30:1|PC 14:0_16:1,[M+H]+,0.675,79.56
2.455,738.50903,PE 36:5|PE 16:1_20:4,[M+H]+,0.738,91.5
2.455,798.56519,w/o MS2:DGGA 13:0_22:3,[M+H]+,0.112,19.34
2.455,876.55524,PI 36:4,[M+NH4]+,0.969,2648.43
2.455,881.51398,w/o MS2:PI 36:4,[M+Na]+,0.613,27.87
2.457,599.50305,Unknown,[M+H]+,0.969,297.08
2.457,859.53076,w/o MS2:PI 34:1,[M+H]+,0.962,181.19
2.458,754.53369,PC 34:4|PC 17:2_17:2,[M+H]+,0.969,6557.35
2.459,728.52045,PC 32:3|PC 16:1_16:2,[M+H]+,0.512,51.65
2.467,544.45648,w/o MS2:LDGTS 21:0,[M+H]+,0.631,74.37
2.468,516.42786,w/o MS2:LDGTS 19:0,[M+H]+,0.769,83.79
2.47,762.50348,PE 38:7|PE 16:1_22:6,[M+H]+,0.481,94.54
2.47,776.5188,w/o MS2:PC 34:4,[M+Na]+,0.219,26.5
2.472,874.60645,w/o MS2:DGGA 19:1_22:6,[M+H]+,0.619,48.7
2.474,783.56677,w/o MS2:RIKEN P-VS1 ID-10574 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,0.087,46.82
2.475,830.56519,PC 40:8|PC 20:4_20:4,[M+H]+,0.975,17008.07
2.478,885.54828,w/o MS2:PI 36:2,[M+H]+,0.231,27.05
2.478,902.56885,PI 38:5,[M+NH4]+,0.962,212.34
2.479,826.58801,w/o MS2:DGDG O-8:0_19:0,[M+Na]+,0.6,31.27
2.483,531.40558,w/o MS2:DG 28:2,[M+H]+,0.456,4539.88
2.483,575.44104,Unknown,[M+Na]+,0.194,205.23
2.483,576.46417,w/o MS2:RIKEN P-VS1 ID-5404 from Mouse_Feces_WT_N_Ctr,[M+H]+,0.45,506.03
2.485,553.38995,Unknown,[M+Na]+,0.425,275.81
2.489,774.56366,Unknown,[M+H-H2O]+,0.844,35.29
2.491,804.55206,PC 38:7|PC 16:1_22:6,[M+H]+,0.519,260.26
2.494,805.55377,w/o MS2:RIKEN P-VS1 ID-11485 from Mouse_Brain_WT_N_F1,[M+H]+,0.1,119.84
2.497,852.5542,PI 34:2,[M+NH4]+,0.969,327.7
2.499,575.50427,Unknown,[M+H]+,0.769,116.33
2.499,835.53143,Unknown,[M+H]+,0.681,100.31
2.501,856.5802,PC 42:9|PC 18:4_24:5,[M+H]+,0.944,113.15
2.502,789.52478,w/o MS2:RIKEN P-VS1 ID-10818 from Mouse_Muscle_WT_CTX14_Ctr,[M+H]+,0.075,76.7
2.511,730.53479,PC 32:2|PC 16:1_16:1,[M+H]+,0.969,6639.27
2.511,752.51672,PC 34:5|PC 16:1_18:4,[M+H]+,0.419,29.6
2.52,784.50818,PS 36:4|PS 18:2_18:2,[M+H]+,0.112,218.87
2.521,792.55054,PC 37:6|PC 19:2_18:4,[M+H]+,0.969,782.54
2.523,802.53394,Unknown,[M+Na]+,0.306,47.03
2.526,788.52405,PE 40:8|PE 18:2_22:6,[M+H]+,0.844,173.4
2.53,689.55243,SM 33:1;2O|SM 18:1;2O/15:0,[M+H]+,0.969,112.88
2.537,780.58105,PC O-37:5,[M+H]+,0.05,79.26
2.54,809.57904,w/o MS2:TG 8:0_16:4_24:6,[M+H]+,0.025,332.6
2.541,808.57123,w/o MS2:HexCer 9:1;2O/34:9,[M+H]+,0.006,1425.69
2.544,806.56683,PC 38:6|PC 18:2_20:4,[M+H]+,0.969,46232.94
2.546,828.55481,PC 38:6,[M+Na]+,0.969,130.54
2.549,806.47894,w/o MS2:PI 31:4,[M+H]+,0.094,34.67
2.555,778.53271,PC 34:3,[M+Na]+,0.419,66.33
2.556,756.55383,PC 34:3|PC 16:1_18:2,[M+H]+,0.969,10061.24
2.562,833.58203,w/o MS2:RIKEN P-VS1 ID-12734 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,0.112,99.37
2.567,756.49451,PC O-36:10,[M+H]+,0.094,52.25
2.568,818.57336,w/o MS2:PC 13:0_26:7,[M+H]+,0.275,22.78
2.572,832.58057,PC 40:7|PC 18:1_22:6,[M+H]+,0.294,357.82
2.573,575.50397,Unknown,[M+H]+,0.956,99.62
2.573,747.51953,Unknown,[M+H]+,0.344,87.58
2.583,750.50165,PE 37:6|PE 15:0_22:6,[M+H]+,0.956,306.6
2.594,782.56372,PC 36:4|PC 18:2_18:2,[M+H]+,0.969,18222.34
2.597,613.51868,Unknown,[M+H]+,0.844,86.33
2.598,719.56366,Unknown,[M+H]+,0.831,70.9
2.598,890.57159,PI 37:4,[M+NH4]+,0.969,235.73
2.606,623.50293,w/o MS2:SL 10:0;O/23:0;O,[M+H]+,0.525,56.5
2.606,764.52197,PE 38:6|PE 18:1_20:5,[M+H]+,0.962,1320.29
2.607,768.55219,PC 35:4|PC 15:0_20:4,[M+H]+,0.969,2739.44
2.608,714.5061,PE 34:3|PE 16:1_18:2,[M+H]+,0.956,158.92
2.615,738.50867,PE 36:5|PE 14:0_22:5,[M+H]+,0.969,1571.77
2.617,858.59131,Unknown,[M+H]+,0.538,40.62
2.619,369.35236,w/o MS2:RIKEN P-VS1 ID-2084 from Mouse_Plasma_ApoEKO_N_F1EPA,[M+H]+,0.969,266.04
2.622,805.5589,w/o MS2:RIKEN P-VS1 ID-11485 from Mouse_Brain_WT_N_F1,[M+H]+,0.1,34.91
2.622,810.5296,Unknown,[M+H]+,0.213,111.39
2.626,654.49249,w/o MS2:DGCC 8:0_19:2,[M+H]+,0.219,150.56
2.626,794.5686,PC 37:5|PC 17:1_20:4,[M+H]+,0.969,473.33
2.636,756.5498,PC 34:3|PC 16:0_18:3,[M+H]+,0.831,6855.11
2.651,744.54883,PC 33:2|PC 17:0_16:2,[M+H]+,0.969,1298.03
2.655,740.52142,PE 36:4|PE 18:2_18:2,[M+H]+,0.331,1005.72
2.663,808.57452,Unsettled: PC 18:1_20:4,[M+H]+,0.181,17057.7
2.663,809.58173,w/o MS2:RIKEN P-VS1 ID-11705 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,0.038,2569.4
2.664,806.56586,PC 38:6|PC 18:1_20:5,[M+H]+,0.975,243483.5
2.664,807.57178,Unknown,[M+H]+,0.438,143040.28
2.665,803.89655,Unknown,[M+H]+,0.587,36.37
2.691,832.58124,PC 40:7|PC 18:1_22:6,[M+H]+,0.969,5464.66
2.7,703.57159,SM 34:1;2O|SM 18:1;2O/16:0,[M+H]+,0.981,45909.11
2.707,770.56415,PC 35:3|PC 16:1_19:2,[M+H]+,0.944,277.78
2.713,706.53314,PC 30:0|PC 15:0_15:0,[M+H]+,0.938,593.57
2.714,703.62677,Unknown,[M+H]+,0.038,103.69
2.715,858.59961,PC 42:8|PC 20:2_22:6,[M+H]+,0.969,317.05
2.717,793.55249,w/o MS2:RIKEN P-VS1 ID-11008 from Mouse_Adipose_WT_N_F1AA,[M+H]+,0.081,85.12
2.723,764.51855,PE 38:6|PE 16:0_22:6,[M+H]+,0.969,43398.75
2.723,1528.03589,w/o MS2:RIKEN P-VS1 ID-20419 from Mouse_Brain_fads2KO_N_Ctr,[2M+H]+,0.794,13.81
2.725,623.50507,w/o MS2:SL 10:0;O/23:0;O,[M+H]+,0.969,550.85
2.73,627.53369,Unknown,[M+H]+,0.969,4722.73
2.741,732.54987,PC 32:1|PC 14:0_18:1,[M+H]+,0.969,1490.73
2.751,783.56927,Unknown,[M+H]+,0.506,135451.59
2.752,782.56415,PC 36:4|PC 16:0_20:4,[M+H]+,1,222592.5
2.753,779.97028,Unknown,[M+H]+,0.569,134.62
2.753,785.58221,Unknown,[M+H]+,0.119,4108.88
2.754,784.57861,Unknown,[M+H]+,0.244,28508.78
2.755,782.48718,w/o MS2:DGDG 2:0_21:1,[M+H]+,0.081,1112.32
2.757,782.82513,Unknown,[M+H]+,0.081,47.14
2.757,790.53033,Unknown,[M+H]+,0.95,510.47
2.772,808.58319,PC 38:5|PC 18:1_20:4,[M+H]+,0.975,44816.25
2.773,810.59265,w/o MS2:HexCer 9:0;2O/34:9,[M+H]+,0.025,704.07
2.774,809.58527,w/o MS2:RIKEN P-VS1 ID-11705 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,0.087,20681.05
2.785,880.59125,Unknown,[M+NH4]+,0.631,459.85
2.797,835.60889,w/o MS2:RIKEN P-VS1 ID-12825 from Mouse_Lung_WT_N_F1,[M+K]+,0.05,200.99
2.803,759.5686,Unknown,[M+H]+,0.394,120562.28
2.806,758.48395,Unknown,[M+H]+,0.231,724.06
2.806,758.56519,PC 34:2|PC 16:0_18:2,[M+H]+,1,212618.5
2.807,760.57404,PC 34:1|PC 16:0_18:1,[M+H]+,0.188,16224.37
2.809,834.5979,PC 40:6|PC 18:1_22:5,[M+H]+,0.475,1318.4
2.81,761.57764,Unknown,[M+H]+,0.069,2997.11
2.817,1498.09009,w/o MS2:RIKEN P-VS1 ID-20172 from Mouse_Kidney_WT_N_Ctr,[2M+NH4]+,0.9,39.43
2.826,599.50159,Unknown,[M+H]+,0.969,424.39
2.827,740.52124,PE 36:4|PE 16:0_20:4,[M+H]+,0.969,42619.25
2.841,784.56866,Unknown,[M+H]+,0.15,5678.38
2.843,785.57666,SM 41:9;2O|SM 17:3;2O/24:6,[M+H]+,0.056,4336.42
2.846,786.58167,w/o MS2:DGCC 9:0_28:6,[M+H]+,0.05,1059.66
2.86,808.58453,PC 38:5|PC 18:1_20:4,[M+H]+,0.962,9353.89
2.863,703.57782,w/o MS2:SM 8:0;2O/26:1,[M+H]+,0.2,57.08
2.863,748.53058,PE O-38:7|PE O-16:1_22:6,[M+H]+,0.969,516.78
2.864,767.57672,Unknown,[M+H]+,0.162,783.67
2.865,629.54834,w/o MS2:RIKEN P-VS1 ID-6396 from Cell_C2C12_WT_N_12hCtr,[M+H]+,0.887,351.71
2.865,906.60693,PI 38:3,[M+NH4]+,0.962,886.01
2.874,720.55194,PE 34:0|PE 17:0_17:0,[M+H]+,0.95,625.16
2.875,811.59784,w/o MS2:RIKEN P-VS1 ID-11817 from Mouse_SmallIntestine_WT_N_Ctr,[M+H]+,0.081,284.04
2.876,630.55658,w/o MS2:RIKEN P-VS1 ID-6409 from Mouse_Muscle_WT_CTX0_Ctr,[M+H]+,0.056,43.68
2.876,806.56506,Unknown,[M+H]+,0.138,96.39
2.878,716.5174,PE 34:2|PE 16:0_18:2,[M+H]+,0.969,75965.01
2.878,1432.03491,Unknown,[M+H]+,0.962,32.09
2.879,575.50513,Unknown,[M+H]+,0.969,704.05
2.879,788.5426,PS 36:2|PS 18:1_18:1,[M+H]+,0.844,168.59
2.881,716.46869,w/o MS2:PE O-16:4_20:5,[M+H]+,0.188,74.36
2.881,738.50751,w/o MS2:PC 9:0_24:5,[M+K]+,0.781,130.56
2.881,792.57214,PC O-38:6,[M+H]+,0.525,474.33
2.882,793.55981,w/o MS2:RIKEN P-VS1 ID-11008 from Mouse_Adipose_WT_N_F1AA,[M+H]+,0.013,111.8
2.884,778.53497,PE 39:6|PE 17:0_22:6,[M+H]+,0.962,295.56
2.889,814.55316,w/o MS2:PS 36:0,[M+H]+,0.019,34.39
2.891,752.60541,w/o MS2:RIKEN P-VS1 ID-9422 from Mouse_Kidney_WT_N_F1AA,[M+H]+,0.863,66.83
2.894,745.54254,w/o MS2:TG 8:0_9:0_26:7,[M+H]+,0.031,122.46
2.899,742.53613,PE 36:3|PE 18:1_18:2,[M+H]+,0.969,8002.75
2.899,746.56799,PC 33:1|PC 15:0_18:1,[M+H]+,0.969,1180.15
2.907,796.58374,PC 37:4|PC 19:1_18:3,[M+H]+,0.969,30450
2.912,822.59692,PC 39:5|PC 21:2_18:3,[M+H]+,0.956,330.99
2.913,632.51892,DG 36:5|DG 18:2_18:3,[M+NH4]+,0.938,393.06
2.913,807.57367,w/o MS2:RIKEN P-VS1 ID-11593 from Mouse_Muscle_WT_CTX1_Ctr,[M+H]+,0.112,67.44
2.913,818.56744,w/o MS2:NAGlySer 22:6/22:5,[M+Na]+,0.95,73.81
2.919,784.58203,PC 36:3|PC 17:1_19:2,[M+H]+,0.019,20139.69
2.919,810.60248,PC 38:4|PC 19:2_19:2,[M+H]+,0.013,771.91
2.922,743.5766,w/o MS2:SM 36:3;3O,[M+H]+,0.075,84.36
2.93,768.58484,PC O-36:4,[M+H]+,0.969,2524.33
2.93,820.61725,PC O-40:6,[M+H]+,0.094,56.34
2.937,794.60162,PC O-38:5,[M+H]+,0.969,4450.97
2.955,682.54059,DG 40:8|DG 18:2_22:6,[M+NH4]+,0.969,1156.89
2.955,860.61548,Unknown,[M+H]+,0.281,227.36
2.957,724.52356,PE O-36:5|PE O-16:1_20:4,[M+H]+,0.969,2794.8
2.957,772.58221,PC 35:2|PC 18:0_17:2,[M+H]+,0.969,2160.06
2.963,835.60278,Unknown,[M+H]+,0.325,88053.06
2.964,836.60565,PC 40:5|PC 18:1_22:4,[M+H]+,0.056,8872.95
2.965,834.59583,PC 40:6|PC 18:1_22:5,[M+H]+,0.969,238544.3
2.968,835.65289,w/o MS2:SM 8:0;2O/36:5,[M+H]+,0.119,115.42
2.973,750.54236,PE O-38:6|PE O-18:2_20:4,[M+H]+,0.969,1415.3
2.977,856.58453,Unknown,[M+NH4]+,0.706,334.31
2.978,754.53613,PE 37:4|PE 19:0_18:4,[M+H]+,0.969,1768.33
2.991,744.58484,Unsettled: PC O-34:2,[M+H]+,0.85,243.98
2.999,808.58215,w/o MS2:PC 36:2,[M+K]+,0.1,191.43
3.003,759.57501,w/o MS2:RIKEN P-VS1 ID-9678 from Mouse_Liver_WT_N_F1EPA,[M+H]+,0.144,58.49
3.014,731.60156,SM 36:1;2O|SM 18:1;2O/18:0,[M+H]+,0.969,8683.1
3.019,732.60852,Unknown,[M+H]+,0.131,2435.72
3.019,734.5675,PC 32:0|PC 16:0_16:0,[M+H]+,0.988,51849.8
3.024,730.53149,PE 35:2|PE 17:1_18:1,[M+H]+,0.969,254.85
3.025,1584.09839,w/o MS2:RIKEN P-VS1 ID-20911 from Mouse_BAT_fads2KO_N_Ctr,[2M+H]+,0.644,7.05
3.026,792.55432,PE 40:6|PE 18:1_22:5,[M+H]+,0.969,30134.18
3.033,760.58179,PC 34:1|PC 18:0_16:1,[M+H]+,0.994,54409.69
3.034,761.58765,Unknown,[M+H]+,0.094,22871.44
3.058,810.52283,w/o MS2:PC O-40:11,[M+2H]2+,0.1,1366.71
3.058,811.60034,Unknown,[M+H]+,0.406,126540.55
3.058,812.60364,Unknown,[M+H]+,0.219,32763.06
3.06,810.46661,Unknown,[M+2H]2+,0.119,232.9
3.06,810.59546,PC 38:4|PC 18:0_20:4,[M+H]+,1,170650.31
3.06,813.60895,Unknown,[M+H]+,0.1,3076.69
3.061,811.65045,w/o MS2:SM 8:0;2O/34:3,[M+H]+,0.125,500.63
3.062,807.90796,Unknown,[M+H]+,0.538,194.6
3.062,1620.18213,Unknown,[M+H]+,0.381,204.18
3.064,817.57507,w/o MS2:TG O-16:4_16:4_18:5,[M+H]+,0.106,33.44
3.066,829.57867,Unknown,[M+H]+,0.213,20.49
3.067,1647.18921,Unknown,[M+H]+,0.056,2.62
3.07,811.54663,Unknown,[M+H]+,0.125,826.66
3.115,786.59839,PC 36:2|PC 18:1_18:1,[M+H]+,0.994,169534.03
3.115,787.60181,Unknown,[M+H]+,0.406,103395.55
3.116,788.60345,Unknown,[M+H]+,0.15,10346.02
3.118,787.54956,Unknown,[M+H]+,0.056,682.67
3.121,786.54248,w/o MS2:PC O-38:9,[M+H]+,0.038,959.28
3.123,718.53625,PE 34:1|PE 16:0_18:1,[M+H]+,0.95,1485.55
3.124,1554.13684,w/o MS2:RIKEN P-VS1 ID-20661 from Mouse_BAT_fads2KO_N_Ctr,[M+NH4]+,0.644,48.42
3.13,808.5752,w/o MS2:HexCer 9:1;2O/34:9,[M+Na]+,0.225,106.8
3.136,795.56543,w/o MS2:RIKEN P-VS1 ID-11085 from Mouse_Adipose_WT_N_F1AA,[M+H]+,0.038,409.51
3.137,768.59521,PE O-39:4|PE O-22:2_17:2,[M+H]+,0.094,878.77
3.138,794.56451,PE 40:5|PE 18:0_22:5,[M+H]+,0.944,1624.27
3.139,627.534,Unknown,[M+H]+,0.969,1949.92
3.139,768.49689,w/o MS2:PE O-18:5_22:6,[M+H]+,0.131,328.63
3.139,1536.09534,w/o MS2:RIKEN P-VS1 ID-20486 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[2M+H]+,0.969,148.26
3.14,768.55176,PE 38:4|PE 18:0_20:4,[M+H]+,0.981,95348.46
3.14,770.56189,Unsettled: PE 16:1_22:2,[M+H]+,0.025,8852.62
3.142,634.54041,DG 36:4|DG 18:2_18:2,[M+NH4]+,0.969,3758.58
3.143,769.55225,w/o MS2:RIKEN P-VS1 ID-10091 from Mouse_Spleen_WT_N_F1,[M+H]+,0.15,51712.91
3.151,790.55731,Unknown,[M+H]+,0.488,118.3
3.165,796.61646,PC O-38:4,[M+H]+,0.062,146.92
3.173,719.57684,w/o MS2:RIKEN P-VS1 ID-8478 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,0.094,167.76
3.176,776.55688,PC O-37:7,[M+H]+,0.95,267.37
3.177,772.5791,w/o MS2:NAGlySer 16:2/24:4,[M+H]+,0.031,107.79
3.18,1512.10046,w/o MS2:RIKEN P-VS1 ID-20279 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,0.35,11.26
3.181,837.61334,w/o MS2:TG 8:0_16:3_26:7,[M+H]+,0.038,228.5
3.183,836.61572,PC 40:5|PC 18:0_22:5,[M+H]+,0.925,1970.1
3.186,745.61072,w/o MS2:SL 16:0;O/26:2;O,[M+H]+,0.156,170.11
3.188,752.55823,PE O-38:5|PE O-16:1_22:4,[M+H]+,0.969,352.88
3.188,839.61853,w/o MS2:RIKEN P-VS1 ID-12977 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+H]+,0.038,30.91
3.19,748.57764,PC 33:0|PC 16:0_17:0,[M+H]+,0.269,462.51
3.19,794.60547,PC O-38:5,[M+H]+,0.481,316.29
3.192,744.55127,PE 36:2|PE 18:0_18:2,[M+H]+,0.969,60503.55
3.193,603.53424,w/o MS2:RIKEN P-VS1 ID-5863 from Mouse_Adipose_WT_N_F1AA,[M+NH4]+,0.969,469.24
3.193,826.61572,w/o MS2:DGCC 8:0_32:7,[M+H]+,0.044,391.59
3.193,1488.09534,w/o MS2:RIKEN P-VS1 ID-20105 from Mouse_Muscle_fads2KO_N_Ctr,[2M+H]+,0.656,24.4
3.195,766.5332,w/o MS2:PC 33:2,[M+H-2H2O]+,0.256,131.47
3.198,658.53845,DG 38:6|DG 16:0_22:6,[M+NH4]+,0.969,1400.23
3.202,812.6145,PC 38:3|PC 18:0_20:3,[M+H]+,0.969,22489.55
3.202,812.65558,Unknown,[M+H]+,0.075,94.42
3.203,778.56952,w/o MS2:PC O-37:6,[M+H]+,0.338,112.23
3.204,758.56232,w/o MS2:HexCer 9:0;2O/30:7,[M+H]+,0.087,73.69
3.205,684.55371,DG 40:7|DG 18:1_22:6,[M+NH4]+,0.969,1477.94
3.21,774.60065,PC 35:1|PC 17:0_18:1,[M+H]+,0.969,497.84
3.216,850.63446,w/o MS2:PC 9:0_32:5,[M+H]+,0.431,43.46
3.219,813.66498,Unknown,[M+H]+,0.056,67.75
3.221,689.51147,Unknown,[M+H]+,0.637,58.12
3.221,712.59009,w/o MS2:RIKEN P-VS1 ID-8300 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+H]+,0.675,100.78
3.227,720.5885,PC O-32:0,[M+H]+,0.969,1711.48
3.227,846.59668,w/o MS2:PC 39:4,[M+H]+,0.55,44.83
3.228,575.42694,w/o MS2:TG 8:0_8:0_14:1,[M+H]+,0.969,143.57
3.231,782.5708,PE 39:4|PE 17:1_22:3,[M+H]+,0.269,275.29
3.235,620.48877,w/o MS2:TG 8:0_8:0_18:4,[M+H]+,0.675,74.64
3.235,660.54938,w/o MS2:ST 24:1;O4/17:1,[M+H]+,0.081,275.88
3.239,746.60083,PC O-34:1,[M+H]+,0.956,4589.52
3.242,822.63446,PC O-40:5,[M+H]+,0.544,23.63
3.251,796.61951,PC O-38:4,[M+H]+,0.931,570.97
3.254,795.56763,w/o MS2:RIKEN P-VS1 ID-11085 from Mouse_Adipose_WT_N_F1AA,[M+H]+,0.125,115.06
3.255,794.56824,PE 40:5|PE 20:1_20:4,[M+H]+,0.681,716.56
3.26,783.57239,w/o MS2:RIKEN P-VS1 ID-10575 from Mouse_Feces_WT_ABX_Ctr,[M+H]+,0.206,163.9
3.26,848.64868,PC O-42:6,[M+H]+,0.181,52.05
3.272,629.55231,w/o MS2:RIKEN P-VS1 ID-6396 from Cell_C2C12_WT_N_12hCtr,[M+H]+,0.144,73.88
3.272,772.61304,Unsettled: PC O-36:2,[M+H]+,0.231,335.26
3.273,770.56787,PE 38:3|PE 18:1_20:2,[M+H]+,0.969,4011.75
3.273,800.61279,PC 37:2|PC 19:0_18:2,[M+H]+,0.969,2684.26
3.273,862.62921,PC 42:6|PC 18:1_24:5,[M+H]+,0.925,97.52
3.275,752.60168,w/o MS2:RIKEN P-VS1 ID-9422 from Mouse_Kidney_WT_N_F1AA,[M+H]+,0.05,51.6
3.275,778.57855,PE O-40:6|PE O-18:1_22:5,[M+H]+,0.969,263.21
3.276,752.55688,PE O-38:5|PE O-18:1_20:4,[M+H]+,0.969,5984.68
3.276,774.53998,w/o MS2:RIKEN P-VS1 ID-10248 from Mouse_Ear_fads2KO_N_Ctr,[M+K]+,0.456,54.57
3.278,773.61841,w/o MS2:SM 38:2;3O,[M+H]+,0.269,58.9
