RT,mz,name,adduct,fill_perc,SN_ratio
2.012,510.45346,w/o MS2:DG O-8:0_20:3,[M+H]+,0.331,78.33
2.021,580.43744,LPC 22:0-SN1,[M+H]+,0.344,46.41
2.025,478.4245,Unknown,[M+H]+,0.138,81.86
2.033,540.42383,w/o MS2:LDGTS 21:2,[M+H]+,0.969,811.31
2.049,385.27216,Unknown,[M+H]+,0.231,62.46
2.051,867.51117,Unknown,[M+H]+,0.525,85.09
2.053,360.32681,Unknown,[M+Na]+,0.981,60.46
2.053,383.39963,w/o MS2:RIKEN P-VS1 ID-2319 from Blank,[M+H]+,1,370.84
2.053,697.65845,Unknown,[M+H]+,0.244,29.52
2.084,798.56317,w/o MS2:DGDG O-8:0_17:0,[M+H]+,0.169,15.77
2.096,843.50842,w/o MS2:RIKEN P-VS1 ID-13122 from Mouse_Muscle_WT_CTX3_Ctr,[M+H]+,0.069,13.16
2.098,860.53998,BMP 42:10|BMP 20:4_22:6,[M+NH4]+,0.619,183.65
2.118,464.37268,w/o MS2:DG O-18:5_7:0,[M+H]+,0.569,30.98
2.128,819.51526,w/o MS2:PI 31:0,[M+H]+,0.075,72.66
2.129,836.5401,BMP 40:8|BMP 18:2_22:6,[M+NH4]+,0.825,174.99
2.177,812.54016,BMP 38:6|BMP 18:2_20:4,[M+NH4]+,0.094,52.97
2.186,886.55847,BMP 44:11|BMP 22:5_22:6,[M+NH4]+,0.325,123.95
2.196,726.50616,PC 32:4|PC 16:2_16:2,[M+H]+,0.406,60.44
2.201,478.38693,w/o MS2:DG O-8:0_18:5,[M+H]+,0.944,117.12
2.203,433.3313,Unknown,[M+H]+,0.969,72.05
2.209,802.53571,w/o MS2:PC 36:5,[M+H]+,0.013,14.45
2.212,788.54205,PG 36:4|PG 18:2_18:2,[M+NH4]+,0.081,69.21
2.224,798.56683,w/o MS2:DGGA 13:0_22:3,[M+H]+,0.325,17.17
2.236,702.50867,PC 30:2|PC 15:1_15:1,[M+H]+,0.531,69.47
2.262,512.46533,w/o MS2:DG O-8:0_20:2,[M+H]+,0.363,71.2
2.263,538.48206,w/o MS2:DG O-8:0_22:3,[M+H]+,0.062,72.05
2.282,752.52411,PC 34:5|PC 18:1_16:4,[M+H]+,0.188,26.65
2.295,821.52991,Unknown,[M+H]+,0.087,140.03
2.298,838.55786,BMP 40:7|BMP 18:1_22:6,[M+NH4]+,0.406,1018.92
2.3,596.38428,w/o MS2:SL 15:3;O/18:2;O,[M+H]+,0.694,73.57
