RT,mz,name,adduct,fill_perc,SN_ratio
2.772,808.58341,PC 38:5|PC 18:1_20:4,[M+H]+,0.98,24219.7
2.784,880.5898,PI 36:2,[M+NH4]+,0.76,585.39
2.805,760.57606,PC 34:1|PC 14:0_20:1,[M+H]+,0.97,6514.28
2.806,758.56683,PC 34:2|PC 16:0_18:2,[M+H]+,1,72727.1
2.808,834.59965,PC 40:6|PC 20:3_20:3,[M+H]+,0.79,786.6
2.81,812.54232,PS 38:4|PS 19:2_19:2,[M+H]+,0.97,469.96
2.826,740.52084,BMP 32:0|BMP 16:0_16:0,[M+NH4]+,0.97,19580.82
2.834,786.58952,PC 36:2|PC 18:1_18:1,[M+H]+,0.96,356.75
2.859,808.5845,PC 38:5|PC 16:1_22:4,[M+H]+,0.95,5325.83
2.861,784.5828,PC 36:3|PC 16:1_20:2,[M+H]+,0.97,17527.85
2.863,906.60722,PI 38:3,[M+NH4]+,0.9,608.68
2.873,720.55256,PC 31:0|PC 14:0_17:0,[M+H]+,0.95,434.18
2.873,788.53992,PS 36:2|PS 18:1_18:1,[M+H]+,0.46,165.07
2.874,810.59799,PC 38:4|PC 16:0_22:4,[M+H]+,0.3,198.29
2.875,766.56915,PC O-36:5|PC O-16:1_20:4,[M+H]+,0.01,24026.38
2.878,716.51852,PE 34:2|PE 16:0_18:2,[M+H]+,0.97,39885.74
2.884,778.53659,PE 39:6|PE 17:0_22:6,[M+H]+,0.94,249.22
2.888,792.58958,PE O-41:6|PE O-17:0_24:6,[M+H]+,0.15,335.62
2.898,746.56666,PC 33:1|PC 14:0_19:1,[M+H]+,0.96,661.46
2.899,742.53543,PE 36:3|PE 18:1_18:2,[M+H]+,0.97,4120.24
2.907,796.58295,PC 37:4|PC 15:0_22:4,[M+H]+,0.97,26978.24
2.911,822.59834,PC 39:5|PC 17:1_22:4,[M+H]+,0.96,632.01
2.913,632.52158,DG 36:5|DG 18:2_18:3,[M+NH4]+,0.94,315.4
2.93,769.59097,SM 38:4;O3,[M+H]+,0.74,864.79
2.931,768.58624,PC O-36:4|PC O-16:0_20:4,[M+H]+,0.86,867.1
2.937,794.60213,PC O-38:5|PC O-16:1_22:4,[M+H]+,0.97,2107.8
2.957,682.54053,DG 40:8|DG 18:2_22:6,[M+NH4]+,0.94,890.18
2.959,724.52521,PE P-36:4|PE P-16:0_20:4,[M+H]+,0.97,1774.17
2.959,772.58178,PC 35:2|PC 18:0_17:2,[M+H]+,0.97,1781.08
2.964,860.61292,PC 42:7|PC 16:1_26:6,[M+H]+,0.73,387.84
2.965,834.59742,PC 40:6|PC 16:0_24:6,[M+H]+,0.97,98969.79
2.972,750.54236,PE P-38:5|PE P-18:1_20:4,[M+H]+,0.97,950.14
2.976,754.535,PE 37:4|PE 15:0_22:4,[M+H]+,0.97,1090.78
2.996,758.56459,PC 34:2|PC 17:1_17:1,[M+H]+,0.03,46.86
3.014,731.6037,SM 36:1;O2|SM 18:1;O2/18:0,[M+H]+,0.97,4540.45
3.019,734.56813,PC 32:0|PC 16:0_16:0,[M+H]+,0.99,26341.9
3.025,792.55163,PE 40:6|PE 20:3_20:3,[M+H]+,0.97,19133.51
3.033,760.58286,PC 34:1|PC 16:0_18:1,[M+H]+,1,20380.96
3.06,810.59577,PC 38:4|PC 18:0_20:4,[M+H]+,1,67278.99
3.06,812.60575,PC 38:3|PC 14:0_24:3,[M+H]+,0.98,4730.03
3.062,836.61599,PC 40:5|PC 16:0_24:5,[M+H]+,0.96,2033.12
3.116,786.59603,PC 36:2|PC 18:0_18:2,[M+H]+,0.98,51595.75
3.122,718.53562,PE 34:1|PE 14:0_20:1,[M+H]+,0.96,1059.15
3.137,794.56425,PE 40:5|PE 16:0_24:5,[M+H]+,0.92,1062.4
3.14,768.54988,PE 38:4|PE 18:0_20:4,[M+H]+,0.98,34873.81
3.141,634.54082,DG 36:4|DG 18:2_18:2,[M+NH4]+,0.97,2332.79
3.167,796.61965,PC O-38:4|PC O-16:0_22:4,[M+H]+,0.35,252.33
3.174,718.56855,PE O-35:1|PE O-17:0_18:1,[M+H]+,0.06,570.79
3.183,836.61584,PC 40:5|PC 16:0_24:5,[M+H]+,0.69,1397.14
3.186,752.55634,PE O-38:5|PE O-18:1_20:4,[M+H]+,0.96,239.81
3.19,748.58414,PC 33:0|PC 14:0_19:0,[M+H]+,0.94,297.7
3.19,794.60328,PE O-41:5|PE O-15:1_26:4,[M+H]+,0.72,265.12
3.192,744.55071,PE 36:2|PE 18:0_18:2,[M+H]+,0.97,38285.46
3.203,812.61408,PC 38:3|PC 18:0_20:3,[M+H]+,0.97,3770.62
3.209,774.60002,PC 35:1|PC 15:0_20:1,[M+H]+,0.97,625.02
3.217,824.61522,PC 39:4|PC 17:0_22:4,[M+H]+,0.97,4154.97
3.226,720.58822,PC O-32:0|PC O-16:0_16:0,[M+H]+,0.97,1128.35
3.236,746.60215,PC O-34:1|PC O-16:0_18:1,[M+H]+,0.82,2768.72
3.237,747.607,SM 36:1;O3,[M+H]+,0.91,804.73
3.25,796.61872,PC O-38:4|PC O-16:0_22:4,[M+H]+,0.84,564.18
3.256,794.56884,PE 40:5|PE 16:1_24:4,[M+H]+,0.11,546.51
3.266,774.53487,PC O-37:8|PC O-17:4_20:4,[M+H]+,0.02,64.27
3.271,862.62975,PC 42:6|PC 16:0_26:6,[M+H]+,0.71,80.06
3.272,772.61742,PC O-36:2|PC O-18:2_18:0,[M+H]+,0.79,123.92
3.272,782.57006,PE 39:4|PE 17:0_22:4,[M+H]+,0.78,99.86
3.273,770.56925,PE 38:3|PE 16:0_22:3,[M+H]+,0.97,1781.39
3.273,800.61449,PC 37:2|PC 15:0_22:2,[M+H]+,0.97,2211.86
3.276,752.55758,PE P-38:4|PE P-18:0_20:4,[M+H]+,0.97,3333.66
3.284,838.62953,PC 40:4|PC 20:2_20:2,[M+H]+,0.97,4384.85
3.304,634.5377,DG 36:4|DG 16:0_20:4,[M+NH4]+,0.97,3926.96
3.329,785.64977,SM 40:2;O2|SM 18:1;O2/22:1,[M+H]+,0.97,883.98
3.338,759.63248,SM 38:1;O2|SM 18:1;O2/20:0,[M+H]+,0.97,620.63
3.341,762.59892,PC 34:0|PC 17:0_17:0,[M+H]+,0.97,7405.82
3.358,796.58398,PE 40:4|PE 20:2_20:2,[M+H]+,0.83,512.23
3.359,810.59725,PC 38:4|PC 14:0_24:4,[M+H]+,0.14,40.11
3.359,811.66661,SM 42:3;O2|SM 18:1;O2/24:2,[M+H]+,0.96,387.61
3.367,788.61318,PC 36:1|PC 14:0_22:1,[M+H]+,0.97,21204.16
3.381,610.53838,DG 34:2|DG 16:0_18:2,[M+NH4]+,0.98,11623.19
3.397,636.55278,DG 36:3|DG 18:1_18:2,[M+NH4]+,0.97,8456.44
3.409,814.6307,PC 38:2|PC 19:1_19:1,[M+H]+,0.5,1174.61
3.425,720.55277,PE 34:0|PE 17:0_17:0,[M+H]+,0.25,37.44
3.437,662.57044,DG 38:4|DG 18:2_20:2,[M+NH4]+,0.21,133.93
3.443,746.56624,PE 36:1|PE 12:0_24:1,[M+H]+,0.97,1145.43
3.462,761.64948,SM 38:0;O2|SM 18:0;O2/20:0,[M+H]+,0.05,35.23
3.465,776.6159,PC 35:0|PC 15:0_20:0,[M+H]+,0.23,55.87
3.477,772.58346,PE 38:2|PE 16:0_22:2,[M+H]+,0.03,83.05
3.489,831.69096,SM 42:1;O3,[M+H]+,0.96,48.83
3.501,780.5871,PE P-40:4|PE P-18:0_22:4,[M+H]+,0.97,274.19
3.507,773.64968,SM 39:1;O2|SM 18:1;O2/21:0,[M+H]+,0.97,190.97
3.507,805.67894,SM 40:0;O3,[M+H]+,0.16,46.02
3.515,802.62909,PC 37:1|PC 14:0_23:1,[M+H]+,0.19,100.67
3.525,799.66621,SM 41:2;O2|SM 18:1;O2/23:1,[M+H]+,0.97,381.5
3.529,866.6596,PC 42:4|PC 16:0_26:4,[M+H]+,0.91,46.32
3.541,828.64729,PC 39:2|PC 15:0_24:2,[M+H]+,0.17,25.45
3.543,850.66424,PC O-42:5|PC O-18:1_24:4,[M+H]+,0.11,72.15
3.548,748.61856,PC O-34:0|PC O-16:0_18:0,[M+H]+,0.97,268.01
3.557,824.65052,PC O-40:4|PC O-16:0_24:4,[M+H]+,0.06,201.47
3.571,876.68158,PC O-44:6|PC O-18:1_26:5,[M+H]+,0.57,33.94
3.618,662.56785,DG 38:4|DG 18:0_20:4,[M+NH4]+,0.97,6137.4
3.635,612.55327,DG 34:1|DG 16:0_18:1,[M+NH4]+,0.97,2262.86
3.64,813.67994,SM 42:2;O2|SM 18:1;O2/24:1,[M+H]+,0.97,25425.33
3.643,816.68949,PC O-39:1|PC O-17:1_22:0,[M+H]+,0.48,211.5
3.648,835.66357,SM 42:2;O2,[M+Na]+,0.97,184.64
3.654,816.64524,PC 38:1|PC 14:0_24:1,[M+H]+,0.49,195.56
3.663,790.6292,PC 36:0|PC 18:0_18:0,[M+H]+,0.96,225.41
3.668,787.66518,SM 40:1;O2|SM 18:1;O2/22:0,[M+H]+,0.97,9168.33
3.691,638.56827,DG 36:2|DG 18:0_18:2,[M+NH4]+,0.97,2125.55
3.714,628.60019,Cer 42:3;O2|Cer 18:1;O2/24:2,[M+H-H2O]+,0.97,88.8
3.714,646.61076,Cer 42:3;O2|Cer 18:1;O2/24:2,[M+H]+,0.97,223.75
3.714,868.67625,PC 42:3|PC 16:1_26:2,[M+H]+,0.74,23.26
3.727,842.65749,PC 40:2|PC 14:0_26:2,[M+H]+,0.64,34.07
3.734,774.59795,PE 38:1|PE 14:0_24:1,[M+H]+,0.07,32.34
3.778,789.67932,SM 40:0;O2|SM 18:0;O2/22:0,[M+H]+,0.36,101.84
3.795,827.69715,SM 43:2;O2|SM 18:1;O2/25:1,[M+H]+,0.97,136.35
3.817,833.70926,SM 42:0;O3,[M+H]+,0.88,59.47
3.82,801.6811,SM 41:1;O2|SM 18:1;O2/23:0,[M+H]+,0.97,16185.83
3.821,823.66605,SM 43:4;O2|SM 17:1;O2/26:3,[M+H]+,0.97,146.95
3.858,776.64894,PC O-36:0|PC O-14:0_22:0,[M+H]+,0.35,36.81
